date,platform,post_type,likes,shares,comments,views
2022-12-18,Instagram,text,1950,652,381,4503
2023-07-24,Twitter,text,1673,132,182,9886
2023-01-12,Twitter,video,531,273,317,9390
2023-02-27,Twitter,image,1943,376,234,8344
2023-03-28,Twitter,image,867,345,332,5637
2023-04-14,Twitter,video,1663,180,418,7151
2023-06-08,Instagram,image,845,259,120,8510
2022-11-28,Twitter,image,1486,461,254,4442
2022-10-23,Instagram,video,2027,889,413,5947
2023-06-17,Instagram,image,434,591,431,8802
2023-07-20,Facebook,text,1763,190,348,9504
2023-10-02,Twitter,image,457,544,408,8559
2023-01-01,Twitter,video,1427,669,140,4111
2022-10-17,Facebook,text,1227,641,320,8679
2023-01-09,Twitter,image,648,759,300,9726
2022-11-22,Facebook,text,1284,805,188,6708
2023-09-11,Twitter,video,973,428,274,9811
2022-12-07,Twitter,video,803,860,190,9791
2022-12-17,Instagram,image,1964,null,500,4621
2023-07-27,Instagram,video,1690,431,154,4965
2022-11-24,Instagram,image,1200,675,325,4348
2022-10-20,Instagram,text,1970,737,367,8536
2023-03-12,Twitter,image,451,896,351,7548
2023-10-05,Facebook,video,1987,744,158,7565
2022-11-03,Facebook,video,896,206,384,6887
2022-12-16,Instagram,text,1943,632,179,8109
2023-10-05,Instagram,image,1237,670,320,6449
2022-11-09,Facebook,video,918,252,157,6209
2022-12-08,Instagram,image,851,161,426,4655
2023-04-26,Instagram,video,1990,539,152,9731
2023-05-12,Instagram,image,1555,690,442,4954
2023-05-01,Facebook,image,2004,195,495,7140
2023-02-15,Instagram,image,804,818,245,6600
2023-05-28,Instagram,video,1822,325,426,4143
2023-01-28,Twitter,text,811,344,331,4043
2023-03-28,Twitter,text,1138,784,327,4026
2022-10-30,Instagram,text,1694,523,310,8930
2023-05-12,Twitter,text,1214,372,379,7173
2023-01-22,Twitter,image,446,582,119,6292
2023-05-12,Twitter,text,2199,845,224,8331
2023-08-16,Twitter,image,1993,104,115,7656
2023-09-03,Facebook,image,401,129,129,5146
2023-02-17,Twitter,text,1774,202,182,6604
2023-07-21,Twitter,text,1075,232,253,null
2023-01-02,Facebook,video,523,391,357,7180
2022-11-26,Instagram,text,562,267,256,6301
2022-11-22,Twitter,image,1685,539,160,6594
2023-05-21,Instagram,text,846,772,368,6897
2022-11-18,Twitter,text,805,602,137,6910
2023-03-26,Facebook,video,1423,196,390,4112
2023-03-18,Twitter,image,988,578,375,5306
2023-04-15,Twitter,image,1479,126,499,7422
2022-11-22,Instagram,image,1844,130,166,8228
2023-10-05,Instagram,video,1438,530,231,4651
2023-09-06,Facebook,text,857,NaN,376,8609
2022-11-09,Instagram,video,2146,553,365,5307
2023-04-13,Instagram,text,2000,142,192,9021
2023-02-09,Twitter,image,1276,306,376,4399
2022-12-13,Facebook,image,1713,468,425,5045
2023-09-08,Instagram,image,1420,301,101,4696
2023-06-22,Instagram,video,948,575,224,5653
2023-06-23,Instagram,video,2181,450,124,5595
2022-12-02,Twitter,image,934,501,254,8947
2023-06-05,Instagram,video,1745,621,263,9931
2023-09-07,Twitter,video,978,626,225,8076
2022-10-27,Facebook,image,1186,829,135,8335
2023-02-16,Twitter,text,1148,186,366,4182
2023-03-26,Twitter,text,522,805,288,7107
2023-09-17,Instagram,text,2105,557,139,8293
2023-09-24,Twitter,image,771,740,372,8329
2022-12-06,Instagram,image,403,866,412,9538
2023-02-22,Instagram,video,709,323,286,5098
2023-04-06,Instagram,image,1011,374,290,7425
2023-08-08,Instagram,video,762,603,109,7443
2023-08-11,Twitter,text,504,325,474,7354
2023-07-21,Facebook,video,1247,585,467,5158
2023-06-22,Instagram,video,931,593,442,8109
2022-11-11,Facebook,text,1059,676,157,9136
2023-09-16,Facebook,text,1767,199,241,6767
2023-05-11,Instagram,image,1763,855,263,9253
2023-05-16,Twitter,image,1126,203,480,7922
2023-04-09,Twitter,text,1840,642,267,5051
2023-09-23,Facebook,video,2041,142,214,6466
2023-03-30,Instagram,image,1118,735,301,4951
2023-02-19,Facebook,video,2193,429,265,4487
2023-05-12,Facebook,video,2066,466,430,5998
2022-11-02,Facebook,image,1888,803,247,7962
2023-02-16,Facebook,video,1528,443,null,9042
2022-10-16,Instagram,video,708,774,417,8055
2023-08-04,Twitter,text,1157,689,403,5443
2023-08-23,Twitter,image,1099,827,264,7677
2023-10-12,Instagram,text,1753,197,391,6430
2023-07-25,Instagram,video,1353,867,205,5421
2023-03-27,Facebook,text,504,641,429,4759
2023-03-09,Instagram,image,1403,418,457,5580
2023-02-24,Instagram,video,1688,732,499,9217
2023-09-09,Facebook,video,858,791,437,4369
2023-03-21,Instagram,video,1022,473,349,7241
2022-10-16,Facebook,video,578,228,296,8656
2023-05-22,Twitter,text,757,305,370,4760
2023-07-11,Facebook,image,549,882,194,6573
2023-01-22,Instagram,image,1006,415,428,6258
2023-01-06,Facebook,image,1904,481,475,7543
2023-05-07,Twitter,image,1450,879,267,4801
2022-11-12,Twitter,video,600,617,473,4243
2023-09-22,Facebook,image,1254,292,300,7117
2022-12-23,Twitter,video,1725,686,194,5801
2023-10-04,Instagram,image,1063,507,279,9742
2023-09-15,Facebook,image,1690,116,159,5027
2022-11-09,Facebook,text,1782,653,395,8650
2023-05-28,Twitter,text,1642,632,300,4685
2023-06-25,Instagram,video,1786,798,177,5507
2022-11-03,Instagram,text,1630,627,399,6347
2022-10-17,Facebook,image,1832,686,438,5704
2023-06-06,Instagram,text,1456,247,443,8417
2023-10-02,Twitter,image,1058,856,494,8142
2023-06-19,Facebook,image,1520,857,213,4886
2023-07-04,Instagram,video,1027,244,124,9194
2023-09-13,Facebook,video,2130,891,384,4459
2023-09-12,Instagram,text,572,638,120,6807
2023-08-12,Twitter,text,NaN,208,136,6571
2023-06-17,Facebook,image,1147,554,186,8072
2022-12-28,Instagram,image,822,755,388,9761
2023-06-16,Instagram,image,1022,498,200,5968
2022-12-22,Twitter,text,2146,416,208,6590
2023-01-16,Facebook,video,2194,591,118,9601
2023-02-05,Instagram,video,2025,319,437,7982
2023-07-12,Instagram,image,1875,623,142,8452
2023-09-25,Twitter,image,1469,448,466,7924
2022-12-23,Instagram,image,561,703,360,4874
2023-05-02,Instagram,video,1027,544,489,8136
2023-08-06,Facebook,video,1534,390,372,5419
2023-06-26,Facebook,video,551,430,434,7162
2023-03-27,Instagram,text,1182,513,392,4220
2023-04-02,Instagram,text,1844,157,214,4974
2022-11-15,Facebook,text,600,578,374,5558
2022-11-14,Instagram,text,1118,734,367,8681
2023-08-09,Twitter,video,648,146,168,5562
2023-03-01,Twitter,image,1059,896,234,8677
2022-12-16,Twitter,text,473,884,432,7694
2023-09-08,Instagram,text,1419,165,119,9729
2023-06-15,Twitter,video,1199,687,122,9634
2023-05-10,Instagram,image,913,564,480,4916
2023-02-09,Facebook,image,700,685,160,6439
2023-08-08,Twitter,text,1495,178,209,9049
2022-12-21,Facebook,image,806,809,461,5091
2022-12-26,Instagram,text,1520,801,269,9595
2023-02-25,Instagram,video,400,565,353,9100
2023-06-02,Twitter,text,867,532,416,4732
2023-04-09,Twitter,image,1113,204,449,6760
2023-03-15,Facebook,image,1935,634,359,5641
2023-04-16,Facebook,text,2035,645,398,4287
2023-01-29,Facebook,text,802,417,283,4389
2023-03-17,Instagram,text,679,423,159,8481
2023-07-31,Facebook,image,1195,832,393,9377
2023-03-30,Twitter,image,1073,609,256,6746
2023-07-08,Instagram,video,931,372,217,6686
2023-06-01,Instagram,video,981,452,398,9571
2023-04-30,Twitter,text,971,775,235,4158
2023-06-24,Facebook,text,808,671,170,8350
2023-06-23,Twitter,text,883,666,474,5774
2023-10-09,Facebook,video,419,152,157,8600
2023-09-15,Facebook,video,1476,835,441,7841
2023-05-02,Instagram,image,710,843,430,5983
2023-01-30,Instagram,image,2180,819,210,9989
2023-03-02,Twitter,video,2046,687,473,6985
2023-02-13,Facebook,text,1814,327,476,7160
2023-02-28,Instagram,video,1761,696,125,4556
2023-09-25,Facebook,text,1826,156,291,9977
2023-09-02,Facebook,text,1483,480,340,5492
2023-09-28,Instagram,video,1492,430,441,7191
2023-09-21,Instagram,image,1482,512,185,4073
2023-04-06,Twitter,text,587,764,167,8190
2022-11-07,Facebook,text,420,636,394,6543
2023-05-11,Twitter,text,958,573,447,5072
2022-11-28,Instagram,video,1932,691,425,4994
2022-11-10,Twitter,image,1154,708,273,6227
2023-07-10,Instagram,image,1937,847,137,7666
2022-10-23,Facebook,video,1871,881,337,5642
2023-01-07,Twitter,text,1775,251,118,5241
2023-08-17,Facebook,text,1172,346,280,5752
2023-01-27,Facebook,image,2099,360,466,4176
2023-02-06,Instagram,image,1731,676,298,4570
2023-01-05,Twitter,video,464,424,441,9441
2022-11-07,Twitter,video,1936,282,336,4454
2023-09-17,Facebook,image,1534,501,224,8041
2023-10-12,Instagram,video,649,602,174,6168
2023-06-21,Facebook,text,1417,350,410,7303
2023-09-02,Twitter,text,1032,741,164,9191
2022-12-23,Twitter,video,1528,614,351,4858
2023-01-22,Facebook,video,1931,165,360,9627
2023-04-20,Twitter,video,1689,427,200,4707
2023-03-17,Facebook,image,528,373,245,5086
2023-03-22,Facebook,video,528,716,323,5795
2023-08-19,Twitter,image,1383,205,386,9326
2023-01-02,Facebook,text,675,422,294,6561
2023-01-02,Twitter,image,1077,120,447,7969
2023-04-29,Facebook,text,2155,374,348,8396
2022-12-23,Facebook,video,464,892,457,5526
2022-11-07,Facebook,text,1167,594,225,9657
2022-11-18,Twitter,image,696,545,497,4837
2023-08-04,Facebook,image,1363,132,133,9382
2022-12-26,Twitter,text,638,358,198,6623
2023-04-03,Facebook,video,1704,340,114,5657
2022-12-26,Facebook,video,438,441,198,6517
2023-08-10,Facebook,video,491,323,298,6876
2022-11-10,Instagram,text,null,398,238,4783
2023-03-04,Facebook,video,1543,833,427,8701
2022-11-07,Twitter,text,1961,855,253,6871
2022-12-03,Facebook,video,462,564,258,6522
2023-09-09,Twitter,image,1592,665,349,8439
2022-12-16,Facebook,image,1746,324,491,8531
2023-01-29,Facebook,text,2005,631,227,8819
2023-03-14,Instagram,text,655,111,407,8368
2022-12-03,Facebook,text,1468,294,187,6256
2023-06-24,Instagram,video,2074,222,455,6797
2023-06-23,Twitter,text,1645,250,286,7318
2023-09-15,Twitter,text,1026,675,275,7227
2023-05-07,Instagram,image,2007,142,468,8421
2023-06-07,Instagram,image,1609,239,164,4334
2022-12-19,Instagram,image,1992,646,102,5646
2023-07-06,Facebook,image,2032,348,366,5990
2023-08-03,Facebook,image,1466,745,147,7062
2023-08-24,Twitter,image,1274,773,375,7419
2023-09-24,Twitter,video,1231,625,402,7279
2023-01-24,Facebook,text,657,603,439,5912
2022-12-17,Facebook,image,453,687,183,4714
2023-01-13,Instagram,image,1291,183,279,8840
2022-10-26,Instagram,image,773,403,205,6136
2022-12-09,Twitter,image,570,837,374,8466
2023-08-22,Facebook,text,1024,751,207,5288
2023-06-13,Instagram,image,1611,529,147,6703
2023-09-18,NonExistingPlatform,text,1311,290,408,7879
2023-04-24,Facebook,video,980,394,185,6170
2023-04-01,Facebook,text,475,122,444,8596
2023-03-31,Twitter,image,1446,822,443,9788
2023-07-21,Facebook,text,1425,594,242,7572
2023-07-04,Instagram,text,1649,738,157,7490
2023-07-16,Instagram,image,740,676,161,6175
2023-09-29,Facebook,text,702,758,422,7065
2023-09-06,NonExistingPlatform,text,596,729,340,7815
2023-09-11,Facebook,image,621,438,301,9779
2023-09-04,Facebook,video,471,631,159,8264
2022-10-28,Twitter,image,788,298,494,9537
2023-08-14,Twitter,image,1313,315,403,6671
2023-02-14,Instagram,video,885,531,155,5648
2023-09-22,Twitter,image,1198,550,371,5055
2023-10-02,Instagram,video,1788,301,378,9701
2023-08-14,Instagram,video,1737,172,287,4502
2023-04-13,Instagram,video,578,539,246,6607
2023-02-26,Twitter,video,1292,339,458,8315
2023-02-22,Instagram,image,1444,335,133,5885
2023-06-09,Twitter,text,877,372,422,8834
2023-07-07,Twitter,text,2131,255,484,9325
2023-02-27,Twitter,video,579,712,170,7355
2023-01-18,Twitter,image,731,154,376,9520
2023-03-03,Facebook,image,1720,655,232,5045
2023-03-02,Facebook,image,1624,584,298,8780
2023-02-05,Twitter,video,1363,334,153,7251
2023-07-14,Twitter,video,926,431,284,6550
2023-04-28,Facebook,text,593,257,283,5180
2023-08-07,Instagram,image,866,724,296,4731
2023-03-18,Facebook,image,1298,142,184,6737
2023-09-19,Twitter,video,1978,396,199,5860
2023-03-31,Facebook,image,2111,347,436,5989
2023-02-08,Facebook,video,1954,542,418,5683
2023-07-08,Instagram,text,758,386,470,9765
2022-10-15,Instagram,video,2198,867,319,6823
2023-09-18,Twitter,image,1121,765,449,6408
2023-02-03,Facebook,video,677,381,239,5778
2023-01-08,Twitter,image,1066,284,315,4843
2022-12-15,Twitter,text,1785,644,225,9243
2023-08-14,Facebook,video,796,538,468,4333
2023-02-24,Facebook,text,1110,892,463,7633
2023-01-10,Facebook,video,1573,841,337,9001
2022-11-12,Instagram,image,1895,446,164,6831
2023-09-19,Facebook,text,704,815,122,5814
2023-01-04,Facebook,text,1399,758,412,8524
2023-03-12,Instagram,video,460,501,NaN,4745
2023-09-05,Facebook,image,904,666,316,5936
2022-12-09,Instagram,text,2134,785,293,7442
2023-04-08,Facebook,video,1437,308,496,7230
2023-02-13,Facebook,image,1335,339,146,4965
2023-06-28,Instagram,image,1468,453,280,8067
2023-09-26,Facebook,video,1587,162,298,6223
2022-10-30,Twitter,image,1370,882,207,5512
2023-08-26,Instagram,image,1872,238,450,7347
2022-12-15,Instagram,image,2099,301,391,5019
2023-03-12,Instagram,text,410,798,102,8280
2022-12-28,Instagram,image,1793,849,215,8348
2023-08-09,Facebook,text,1790,297,158,6655
2023-03-10,Twitter,image,681,698,314,4224
2023-07-22,Instagram,image,1089,686,128,4688
2023-09-06,Facebook,text,598,795,339,9127
2023-06-09,Twitter,image,1882,773,315,6612
2023-04-02,Twitter,text,2176,149,233,6298
2022-11-29,Instagram,video,1320,395,218,9815
2023-09-24,Instagram,text,1802,824,458,6834
2022-12-27,Twitter,image,508,857,167,7836
2023-03-26,Facebook,video,1063,133,300,8772
2023-03-15,Facebook,image,1930,668,144,8109
2023-08-23,Twitter,image,1613,852,203,6674
2023-08-16,Twitter,video,725,147,314,5075
2022-12-26,Instagram,text,1155,307,324,7153
2022-10-17,Twitter,image,2067,238,436,8121
2023-07-31,Instagram,image,1650,232,257,5213
2022-12-12,Facebook,text,1042,821,495,9099
2023-01-13,Twitter,text,994,550,332,9520
2022-10-28,Instagram,image,2166,482,401,8331
2022-12-21,Facebook,image,1604,787,402,5680
2023-02-09,Facebook,image,1250,361,105,9374
2023-02-07,Facebook,text,2131,674,400,8312
2022-11-13,Facebook,image,2115,474,455,7908
2022-12-27,Twitter,video,505,381,343,7264
2023-07-27,Instagram,video,1806,442,255,9185
2023-01-29,Instagram,video,1169,196,116,9728
2022-10-27,Instagram,video,494,382,176,8015
2023-02-18,Facebook,video,1007,638,318,4415
2022-12-07,Facebook,image,1153,471,458,5196
2023-02-06,Facebook,video,2078,735,132,8008
2023-07-29,Instagram,video,1462,191,140,6718
2023-02-10,Facebook,image,515,375,484,4934
2023-07-31,Twitter,text,1116,332,104,4497
2023-04-17,Facebook,text,2165,191,373,9489
2023-07-09,Facebook,video,667,491,193,4674
2023-06-02,Twitter,video,992,740,450,6214
2023-10-12,Instagram,image,1495,238,368,9736
2023-05-12,Instagram,image,1698,444,335,5325
2023-07-11,Twitter,video,1131,810,431,9628
2023-03-18,Twitter,video,1892,514,284,7340
2023-09-12,Facebook,text,1410,217,428,9762
2023-06-19,Facebook,video,1200,595,448,8985
2023-01-29,Facebook,video,483,829,357,9193
2023-01-18,Twitter,text,1660,222,439,8164
2023-08-10,Instagram,text,947,335,235,6946
2022-10-31,Instagram,video,594,696,388,7916
2023-03-05,Facebook,image,1872,846,460,5741
2023-08-01,Twitter,text,2115,813,185,9537
2023-02-05,Twitter,video,1993,867,243,4837
2023-04-17,Instagram,text,622,633,327,5507
2023-02-03,Instagram,video,1563,288,484,8212
2023-08-21,Twitter,text,1891,900,113,9085
2022-11-19,Instagram,video,751,116,270,8123
2023-09-02,Twitter,image,632,369,299,8469
2023-05-18,Facebook,video,1847,209,450,8052
2023-01-20,Twitter,video,2008,793,141,6896
2023-04-26,Twitter,image,802,222,432,5301
2023-08-18,Facebook,text,1101,704,190,7977
2023-03-06,Instagram,image,1130,433,418,5322
2023-06-20,Facebook,text,1283,664,393,8383
2023-04-05,Instagram,image,1708,460,160,9700
2023-05-22,Instagram,image,1312,542,153,4415
2022-12-13,Twitter,text,988,574,181,5581
2023-06-18,Facebook,image,695,684,185,4259
2022-12-12,Instagram,video,945,202,426,8876
2023-09-23,Facebook,video,1424,546,292,7084
2023-05-02,Facebook,image,1804,261,322,8219
2023-07-05,Twitter,image,1985,457,371,9123
2023-10-11,Instagram,image,2018,135,359,8738
2023-02-01,Twitter,text,867,447,246,4360
2023-10-01,Twitter,image,906,227,134,6606
2023-05-12,Instagram,text,1907,736,129,7647
2023-03-31,Twitter,video,1917,495,460,9563
2023-07-25,Twitter,text,522,461,455,4888
2023-08-06,Instagram,image,997,428,256,6434
2023-01-27,Instagram,image,1325,203,279,4188
2022-11-01,Facebook,video,833,118,473,5393
2023-04-07,Facebook,text,1349,849,405,7071
2023-05-26,Facebook,image,1164,720,167,5234
2023-08-16,Twitter,image,2089,626,209,6488
2023-09-28,Facebook,text,2176,361,252,8113
2023-03-06,Facebook,video,1520,873,317,9466
2023-09-10,Twitter,image,403,683,201,9417
2023-05-19,Facebook,image,1661,518,280,5371
2023-01-21,Twitter,text,1622,647,139,8372
2022-12-31,Twitter,image,981,606,247,6328
2023-04-02,Instagram,image,700,200,139,6085
2023-09-21,Facebook,text,930,384,194,8824
2022-12-01,Instagram,text,1011,380,174,8422
2022-10-24,Instagram,image,1896,461,216,7535
2023-02-28,Facebook,video,1585,443,291,7375
2023-10-05,Instagram,video,596,607,228,9608
2023-01-23,Instagram,video,1339,487,123,7665
2023-05-02,Twitter,text,1168,494,278,5517
2022-11-09,Twitter,image,789,117,106,8850
2023-03-11,Instagram,video,1271,713,246,7684
2023-02-04,Instagram,image,1295,492,327,6011
2023-10-03,Facebook,video,1784,364,433,6971
2023-06-15,Twitter,image,455,186,192,4917
2023-09-17,Instagram,text,1730,532,312,4353
2022-11-03,Twitter,video,1932,355,117,4545
2023-02-24,Twitter,image,2158,264,107,9567
2023-01-07,Instagram,video,1933,419,214,9778
2023-09-24,Twitter,text,1798,290,271,8402
2023-04-02,Facebook,image,1909,253,330,7945
2023-06-06,Facebook,image,1982,751,132,7157
2023-04-25,Instagram,image,1359,703,288,5503
2022-10-13,Twitter,video,665,690,232,6796
2023-09-04,Instagram,video,591,424,343,6812
2022-11-04,Facebook,image,2124,427,197,9802
2023-06-08,Instagram,image,619,338,394,9549
2022-12-25,Instagram,image,1036,277,150,9972
2023-01-09,Twitter,text,1802,256,155,7147
2022-12-11,Instagram,image,1401,332,341,5814
2023-06-08,Facebook,image,960,672,388,7171
2023-03-06,Facebook,video,1008,739,418,9762
2023-02-08,Instagram,video,1405,202,252,4987
2023-02-19,Twitter,video,1295,158,467,8487
2023-06-14,Facebook,text,1811,135,385,5971
2023-01-20,Twitter,image,1860,487,365,4725
2023-03-21,Facebook,video,1480,664,270,5544
2023-01-23,Instagram,text,2063,890,189,8712
2023-01-02,Facebook,video,1094,761,121,4351
2023-08-05,Instagram,image,1303,611,377,8248
2023-03-07,Facebook,text,1002,656,442,7035
2023-01-15,Facebook,image,766,853,392,5687
2023-03-17,Twitter,text,412,338,280,4238
2023-03-27,Instagram,text,1895,637,259,4319
2023-04-13,Instagram,text,1406,485,242,7540
2023-01-04,Twitter,image,1294,349,278,6485
2022-12-01,Instagram,image,840,786,416,8076
2023-02-25,Instagram,video,1815,377,269,6280
2023-02-13,Facebook,image,1979,143,183,9998
2023-05-18,Facebook,image,855,828,450,5271
2023-07-18,Instagram,image,535,745,313,6169
2023-03-04,Facebook,text,2133,759,186,8839
2023-08-28,Twitter,video,570,288,432,5871
2023-06-09,Facebook,image,2053,818,476,9625
2023-09-15,Twitter,video,1295,724,456,4995
2023-04-13,Twitter,text,1188,120,342,8731
2023-09-20,Twitter,image,684,470,102,8413
2022-10-26,Instagram,text,2142,241,183,5550
2023-07-21,Facebook,image,1166,634,304,5182
2023-07-15,Twitter,video,1366,310,378,9386
2023-09-20,Facebook,image,877,213,122,7489
2023-09-07,Instagram,image,2173,888,239,4816
2023-07-16,Twitter,video,1554,898,453,9505
2023-02-21,Instagram,text,NaN,507,372,6924
2023-08-25,Twitter,image,1995,715,334,6327
2023-08-13,Facebook,video,2037,458,238,6801
2023-06-13,Twitter,video,490,333,422,5398
2023-02-02,Facebook,text,1004,594,180,9779
2023-05-13,Twitter,text,1095,528,472,9885
2022-10-28,Instagram,image,546,390,190,9807
2023-05-27,Instagram,text,798,874,437,5077
2022-12-07,Twitter,image,796,462,286,9556
2022-10-30,Facebook,video,521,206,331,6284
2022-11-29,Twitter,image,670,178,356,8318
2023-06-09,Facebook,video,855,650,413,6748
2022-11-06,Instagram,video,1445,212,326,5583
2023-03-12,Twitter,text,790,470,129,4210
2023-09-21,Facebook,image,1599,162,485,8609
2023-06-22,Facebook,video,841,284,433,7437
2022-10-14,Facebook,text,1498,689,362,8387
2022-10-16,Facebook,image,1386,667,423,8287
2023-05-29,Twitter,video,2056,693,381,7188
2023-08-20,Facebook,video,463,261,306,8273
2023-05-14,Instagram,text,783,511,233,6057
2023-07-30,Facebook,video,587,258,230,6876
2022-11-12,Twitter,video,516,319,252,6815
2023-06-02,Instagram,image,674,467,183,7233
2023-01-02,Instagram,image,1121,387,493,6094
2023-04-04,Facebook,image,1471,632,357,9595
2023-03-27,Twitter,video,1784,118,201,6615
2023-03-08,Twitter,text,749,593,310,4909
2022-10-30,Twitter,video,954,501,211,4296
2022-11-23,Instagram,text,1438,536,350,7241
2023-10-13,Facebook,image,622,546,347,5326
2023-08-17,Facebook,video,1808,126,409,9754
2023-05-24,Facebook,text,2167,175,354,8340
2023-03-07,Twitter,image,1545,886,216,7206
2023-05-13,Twitter,text,2179,211,239,5862
2023-06-12,Twitter,video,1019,248,301,5004
2023-07-02,Instagram,image,2142,347,216,8362
2022-11-13,Facebook,text,1533,845,108,7910
2022-10-30,Instagram,text,1451,737,null,6810
2023-01-02,Instagram,text,1512,375,344,4555
2022-11-15,Instagram,text,1383,349,332,6486
2023-07-10,Instagram,image,1568,715,301,5394
2022-12-10,Twitter,text,572,334,468,8130
2022-12-24,Twitter,image,1596,729,429,6794
2023-08-10,Instagram,text,1828,856,343,4784
2022-12-04,Twitter,video,784,525,461,4628
2022-11-26,Twitter,image,856,122,259,8274
2023-03-13,Instagram,image,2135,508,241,7264
2022-11-04,Twitter,text,1832,436,101,5109
2023-03-09,Facebook,image,467,325,112,9086
2023-02-22,Facebook,image,1042,595,181,6297
2023-03-24,Twitter,text,1873,669,341,8033
2023-09-10,Instagram,image,454,665,425,6182
2022-12-30,Instagram,text,2096,757,332,5119
2023-04-21,Twitter,text,2070,858,231,4208
2023-03-10,Facebook,image,601,561,121,7917
2023-04-17,Facebook,image,1935,450,374,4030
2022-12-20,Facebook,video,426,545,293,7545
2023-03-11,Twitter,image,754,468,430,6044
2023-05-08,Instagram,video,640,807,236,9153
2023-01-03,Twitter,image,1835,304,394,4541
2023-07-07,Instagram,text,562,176,397,8723
2022-11-28,Twitter,image,953,806,474,8074
2023-09-28,Facebook,text,1989,526,359,9738
2023-05-03,Instagram,text,1625,724,443,7925
2022-11-27,Facebook,video,1083,304,263,7889
2023-09-11,Instagram,image,1740,174,218,6273
2023-06-29,Instagram,text,1625,809,168,6198
2023-08-30,Twitter,text,1352,113,132,8682
2023-02-03,Twitter,image,984,155,245,9683
2023-02-01,Instagram,video,1895,565,430,9067
2023-08-15,Twitter,text,1790,142,348,7055
2023-01-29,Facebook,text,2017,851,350,6248
2023-02-22,Facebook,video,531,490,438,6842
2023-01-18,Instagram,text,550,520,256,7993
2023-08-01,Twitter,image,1017,655,351,9663
2023-01-30,Twitter,text,1230,577,106,4795
2022-11-24,Facebook,image,1169,311,265,8102
2023-07-02,Twitter,image,1596,229,350,5394
2023-07-19,Instagram,video,1786,554,306,7759
2023-01-05,Twitter,video,1897,358,387,7407
2023-07-17,Twitter,text,1413,255,347,6532
2023-07-06,Twitter,text,744,595,211,7706
2023-05-23,Instagram,video,1289,323,220,8310
2023-06-09,Twitter,image,1265,510,436,5574
2023-06-06,Instagram,image,1864,456,291,4068
2023-02-28,Facebook,image,2023,575,137,5212
2022-11-13,Facebook,text,570,452,196,9186
2022-10-23,Instagram,video,1144,428,283,6667
2023-02-27,Twitter,image,1436,232,429,7570
